name,type,condition,accuracy
Samuel,trial_corners_forced,34,0.9044585987261147
teemu,trial_corners_forced,34,0.7897727272727273
tero_eta,trial_corners_forced,34,0.9147727272727273
anni_cor,trial_corners_forced,23,0.7987421383647799
corners_kh38,trial_corners_forced,23,0.7973856209150327
corners_kh39,trial_corners_forced,23,0.8493150684931506
corners_kh40,trial_corners_forced,23,0.8875
corners_kh41,trial_corners_forced,23,0.8553459119496856
corners_kh42,trial_corners_forced,23,0.6758241758241759
corners_kh43,trial_corners_forced,23,0.7696629213483146
corners_kh44,trial_corners_forced,23,0.795774647887324
corners_kh45,trial_corners_forced,23,0.7402597402597403
corners_kh46,trial_corners_forced,23,0.8181818181818182
corners_kh47,trial_corners_forced,23,0.7833333333333333
corners_kh53,trial_corners_forced,23,0.8268156424581006
corners_kh54,trial_corners_forced,23,0.8035714285714286
kh00_corners,trial_corners_forced,23,0.9144736842105263
kh25_corners,trial_corners_forced,23,0.7243589743589743
kh26_corners,trial_corners_forced,23,0.803921568627451
kh27_corners,trial_corners_forced,23,0.7516339869281046
kh28_corners,trial_corners_forced,23,0.8
kh29_corners,trial_corners_forced,23,0.9058823529411765
kh30_corners,trial_corners_forced,23,0.7558139534883721
kh31_corners,trial_corners_forced,23,0.8598726114649682
kh33_corners,trial_corners_forced,23,0.8175675675675675
kh34_corners,trial_corners_forced,23,0.7839506172839507
kh35_corners,trial_corners_forced,23,0.8333333333333334
kh36_corners,trial_corners_forced,23,0.8089171974522293
kh37_corners,trial_corners_forced,23,0.7581699346405228
kh48_corners,trial_corners_forced,23,0.8786127167630058
kh49_corners,trial_corners_forced,23,0.7483870967741936
kh50_corners,trial_corners_forced,23,0.5806451612903226
kh51_corners,trial_corners_forced,23,0.6423841059602649
kh52_corners,trial_corners_forced,23,0.8113207547169812
laurilab,trial_corners_forced,23,0.7371428571428571
otto,trial_corners_forced,23,0.8506493506493507
Samuel,trial_corners_forced,23,0.8679245283018868
teemu,trial_corners_forced,23,0.7245508982035929
tero_eta,trial_corners_forced,23,0.85
anni_cor,trial_corners_forced,41,0.7368421052631579
corners_kh38,trial_corners_forced,41,0.8070175438596491
corners_kh39,trial_corners_forced,41,0.8430232558139535
corners_kh40,trial_corners_forced,41,0.8922155688622755
corners_kh41,trial_corners_forced,41,0.8148148148148148
corners_kh42,trial_corners_forced,41,0.7577639751552795
corners_kh43,trial_corners_forced,41,0.6524390243902439
corners_kh44,trial_corners_forced,41,0.7543859649122807
corners_kh45,trial_corners_forced,41,0.8
corners_kh46,trial_corners_forced,41,0.8614457831325302
corners_kh47,trial_corners_forced,41,0.7922077922077922
corners_kh53,trial_corners_forced,41,0.7556818181818182
corners_kh54,trial_corners_forced,41,0.8518518518518519
